cluster,gene,avg_log2FC,p_val_adj,pct.1,pct.2
Proliferative KCs,H2AFZ,1.592947809,0,0.993,0.654
Proliferative KCs,HMGB2,1.583722378,0,0.944,0.358
Proliferative KCs,TK1,1.541758338,0,0.829,0.043
Proliferative KCs,S100A2,1.504746217,0,0.982,0.463
Proliferative KCs,TUBB,1.46347003,0,0.973,0.591
Proliferative KCs,KRT5,1.460945158,0,0.982,0.463
Proliferative KCs,FABP5,1.376816021,0,0.968,0.554
Proliferative KCs,HMGB1,1.308562946,0,0.996,0.77
Proliferative KCs,BIRC5,1.297093507,0,0.779,0.018
Proliferative KCs,SLC25A5,1.294689548,0,0.987,0.696
Proliferative KCs,CDC20,1.264562055,0,0.69,0.025
Proliferative KCs,CCNB1,1.199365061,0,0.639,0.026
Proliferative KCs,NUSAP1,1.199006355,0,0.733,0.049
Proliferative KCs,TOP2A,1.196546395,0,0.638,0.014
Proliferative KCs,CENPW,1.177528435,0,0.84,0.072
Proliferative KCs,RRM2,1.173141249,0,0.652,0.017
Proliferative KCs,LY6D,1.16843842,0,0.951,0.42
Proliferative KCs,GSTP1,1.149783004,0,0.992,0.689
Proliferative KCs,MT1X,1.143251758,0,0.978,0.512
Proliferative KCs,RANBP1,1.122900802,0,0.938,0.445
Proliferative KCs,AKR1B10,1.107180521,0,0.713,0.231
Resident Memory T Cells,TYMS,2.187548361,8.78E-265,0.803,0.065
Resident Memory T Cells,RRM2,2.00594664,6.26E-247,0.74,0.056
Resident Memory T Cells,MKI67,1.757336306,4.18E-222,0.701,0.056
Resident Memory T Cells,PCLAF,2.621182065,6.26E-206,0.913,0.108
Resident Memory T Cells,CD3D,2.291702293,2.12E-180,0.795,0.082
Resident Memory T Cells,GZMA,2.328124368,2.36E-171,0.685,0.063
Resident Memory T Cells,TRAC,2.107672182,6.81E-169,0.787,0.086
Resident Memory T Cells,CORO1A,3.066029295,1.42E-166,0.992,0.165
Resident Memory T Cells,GZMB,2.639658224,3.23E-145,0.646,0.066
Resident Memory T Cells,STMN1,3.078411311,5.18E-132,0.976,0.221
Resident Memory T Cells,RAC2,1.778548402,1.96E-96,0.921,0.208
Resident Memory T Cells,IL32,2.490943716,2.05E-95,0.882,0.201
Resident Memory T Cells,HMGB2,3.093610496,2.91E-93,1,0.394
Resident Memory T Cells,CD52,2.252557118,1.94E-89,0.906,0.208
Resident Memory T Cells,COTL1,2.642704618,2.11E-81,0.929,0.312
Resident Memory T Cells,TUBA1B,2.968167171,2.32E-72,1,0.608
Resident Memory T Cells,ARHGDIB,2.165862818,5.56E-70,0.969,0.4
Resident Memory T Cells,H2AFV,1.860407895,1.81E-67,0.961,0.45
Resident Memory T Cells,HMGN2,2.380971995,1.15E-65,0.984,0.593
Resident Memory T Cells,HMGB1,1.83175577,7.29E-63,1,0.784
Resident Memory T Cells,PFN1,2.015772071,9.53E-60,0.992,0.833
Resident Memory T Cells,TUBB,2.52837545,3.23E-59,0.969,0.615
Resident Memory T Cells,TMSB4X,1.915387251,5.99E-56,1,0.974
Resident Memory T Cells,ACTB,2.1317392,7.04E-56,1,0.927
Resident Memory T Cells,DUT,1.914965314,1.16E-55,0.898,0.417
Resident Memory T Cells,H2AFZ,1.800362492,9.97E-54,0.992,0.675
Resident Memory T Cells,CRIP1,1.824856421,3.60E-52,1,0.564
Resident Memory T Cells,S100A4,2.298969206,4.26E-48,0.921,0.472
Resident Memory T Cells,HIST1H4C,2.548167755,3.71E-45,0.795,0.346
Resident Memory T Cells,GNLY,2.145243976,8.58E-38,0.441,0.09
Suprabasal KCs,SPRR1B,4.471064572,0,0.933,0.194
Suprabasal KCs,KRTDAP,4.441093568,0,0.996,0.387
Suprabasal KCs,SBSN,4.047650098,0,0.996,0.262
Suprabasal KCs,CALML5,4.034731446,0,0.943,0.217
Suprabasal KCs,KRT2,4.015997287,0,0.35,0.028
Suprabasal KCs,SPRR2E,3.771580179,0,0.722,0.141
Suprabasal KCs,SPRR2D,3.544672484,0,0.726,0.176
Suprabasal KCs,SPRR2A,3.477597321,0,0.764,0.207
Suprabasal KCs,KRT16,3.434175478,0,0.902,0.379
Suprabasal KCs,DEFB4A,3.325988096,0,0.471,0.059
Suprabasal KCs,S100A7,3.248928987,0,0.995,0.51
Suprabasal KCs,CNFN,3.236101462,0,0.616,0.129
Suprabasal KCs,KRT1,3.186820047,0,0.95,0.292
Suprabasal KCs,PI3,3.163779135,0,0.758,0.267
Suprabasal KCs,KRT10,3.049295348,0,0.989,0.562
Suprabasal KCs,DMKN,3.044334229,0,0.997,0.386
Suprabasal KCs,KRT17,3.000738854,0,0.938,0.4
Suprabasal KCs,KRT6C,2.989724076,0,0.666,0.166
Suprabasal KCs,CSTA,2.983172025,0,0.962,0.346
Suprabasal KCs,SLURP1,2.908728864,0,0.353,0.021
Suprabasal KCs,KRT6B,2.794779911,0,0.742,0.278
Suprabasal KCs,KRT6A,2.788667951,0,0.873,0.45
Suprabasal KCs,CD24,2.591595384,0,0.958,0.187
Suprabasal KCs,FABP5,2.547929285,0,0.995,0.53
Suprabasal KCs,SLPI,2.542009358,0,0.961,0.266
Suprabasal KCs,FLG,2.534078774,0,0.116,0.01
Suprabasal KCs,S100A7A,2.429913521,0,0.718,0.096
Suprabasal KCs,LYPD3,2.405043522,0,0.984,0.346
Suprabasal KCs,CALML3,2.381642636,0,0.96,0.224
Suprabasal KCs,S100A8,2.381198965,0,0.991,0.64
T Cells,IL32,2.857575958,0,0.681,0.154
T Cells,IL7R,2.84349087,0,0.622,0.064
T Cells,CD3D,2.681091213,0,0.605,0.03
T Cells,CD52,2.574476805,0,0.701,0.16
T Cells,TRAC,2.483703823,0,0.519,0.044
T Cells,TRBC2,2.454803316,0,0.513,0.046
T Cells,LTB,2.332138382,0,0.529,0.074
T Cells,CD2,2.316430711,0,0.564,0.047
T Cells,TRBC1,2.239118992,0,0.401,0.041
T Cells,KLRB1,2.224045841,0,0.385,0.063
T Cells,S100A4,1.972484799,0,0.744,0.445
T Cells,CXCR4,1.921846841,0,0.763,0.303
T Cells,CD69,1.907893131,0,0.558,0.142
T Cells,CD3E,1.897058679,0,0.48,0.04
T Cells,TSC22D3,1.824572132,0,0.762,0.53
T Cells,BATF,1.801482459,0,0.309,0.034
T Cells,RGCC,1.762728158,0,0.497,0.228
T Cells,ARHGDIB,1.762526214,0,0.668,0.374
T Cells,CORO1A,1.743648301,0,0.508,0.133
T Cells,SARAF,1.739003505,0,0.727,0.64
T Cells,DUSP4,1.738937678,0,0.333,0.074
T Cells,SPOCK2,1.725890463,0,0.384,0.028
T Cells,GZMA,1.705534102,0,0.276,0.043
T Cells,RGS1,1.698836158,0,0.55,0.179
T Cells,ZFP36L2,1.68352072,0,0.754,0.64
T Cells,LINC-PINT,1.680295941,0,0.584,0.27
T Cells,EVL,1.570587482,0,0.45,0.246
T Cells,CREM,1.569885633,0,0.539,0.286
T Cells,RORA,1.635895929,6.95E-257,0.502,0.352
T Cells,GZMB,1.584674373,1.14E-242,0.197,0.055
